RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10
121668,Adams Morgan,Washington,DC,Washington,District of Columbia,624,,,,,,,,,,,,,171800,173500,174500,176700,179000,181500,185300,190700,197400,203500,207600,212200,218800,223800,224400,222700,221300,221400,224400,228700,231900,233800,236800,242000,248100,253700,258700,263800,269700,275900,280400,284000,288100,293600,299700,308000,316300,322200,325800,329600,332200,335300,339300,341400,343400,347500,351500,352800,352700,353000,355900,361400,367800,373200,377500,382900,389300,395300,401000,408000,416700,426200,435700,444400,450200,452400,453600,456100,457700,457300,455200,454200,457400,462500,464300,464800,469300,477000,483900,487600,488900,488000,485800,484100,480700,477300,475300,473800,471100,467200,463000,460700,461100,464000,467700,470100,471000,471100,471400,472000,472700,472700,471200,469400,469200,467800,465600,463500,462500,461400,460400,459000,456900,454700,452500,450600,448300,446100,443900,441700,439600,438000,437500,436500,435600,435800,439900,445700,449200,451400,455200,458000,456600,453500,450800,448900,447100,448200,448200,444300,439800,440100,441800,441400,441300,443000,443900,444400,444600,445500,448700,452800,455600,457400,458500,460100,461800,462500,464200,467100,470000,471200,470700,471000,472800,474000,474800,477200,481800,487500,493300,499400,505000,508400,510100,511400,513300,515100,515400,515200,516600,518600,519800,520500,522100,523900,525600,526800,527800,528000,529000,533200,539300,543900,545400,544900,544600,545000,544500,543600,545200,547300,549100,551400,552100,550300,549600,552200,555100
121670,Anacostia,Washington,DC,Washington,District of Columbia,2562,90900,88200,87600,87800,86300,84400,83600,81700,78800,76000,74200,74900,77300,78200,77700,77900,79100,81000,81800,81900,83200,85200,85600,86100,87100,88100,87700,86000,83800,83000,82600,82000,81600,81700,83200,85700,86900,87700,89400,91500,92900,94600,96900,99000,100600,102400,104000,107300,111300,113100,112900,113400,113800,113700,113800,114300,114900,115300,116100,116900,118100,119800,121600,123700,126100,127400,128700,130900,133400,135100,135900,136600,138900,142500,146600,151700,156700,160100,163000,166800,170700,174900,178500,181100,183900,188700,194700,199300,203600,209100,214600,217900,222400,228900,235000,238800,240200,238900,236600,233400,231500,231700,233000,233700,234300,235500,238400,241100,243000,244600,246400,248400,248900,247300,244600,242500,241400,238900,235400,234000,233500,231000,229000,229400,231500,233800,232600,229000,225900,224500,223300,220500,215400,211100,207800,206200,205800,202700,204000,210600,213900,212400,212800,212600,212900,213700,212200,208000,203700,202300,200300,196700,192300,188100,183200,179400,176400,174700,174200,174600,174700,174600,174600,174500,174600,175200,176400,178800,181700,184600,187600,189700,191500,193700,195400,196400,197900,199800,200800,203300,206400,208400,209800,211600,211400,210600,210800,212600,216000,221800,226900,229300,231200,234200,236600,238600,241200,244000,245100,244600,245500,247700,250000,252700,257600,263400,267200,268600,271400,276700,281600,283800,284500,285900,287600,289000,289400,290000,292300,294800,296100
121672,Barnaby Woods,Washington,DC,Washington,District of Columbia,4114,,,,,,,,,,,,,413700,420400,422200,424100,428000,435300,444100,454100,466000,479100,487800,497200,506100,512500,519100,526000,528200,528800,528900,530200,533700,532500,530300,536100,546000,553200,558200,560900,562900,566000,571400,579100,586600,595200,605800,620400,635800,645400,651500,660500,667900,675000,687700,697400,701800,709100,720800,723900,717300,710500,706900,706900,712400,720200,727000,734800,743000,751700,762200,775700,788200,797800,808000,820000,830200,837100,841700,846500,853300,856900,856600,858400,867100,878700,888100,892600,895300,899900,900700,898200,895100,894600,893700,893600,893000,892500,890500,889400,891600,892500,892200,894500,898700,899500,899300,901000,904300,906300,908100,909200,907700,904500,902100,900200,897600,894200,888500,881700,876200,872900,870100,866600,863700,861800,858600,853100,850600,848700,843900,839500,838600,840600,844200,848700,850800,849500,853500,862100,865200,866900,874100,878800,877000,874800,871800,867100,861700,863100,862100,854900,848300,850900,855500,856700,854400,851900,849600,850700,854800,858900,863700,869900,875600,883200,890200,892100,892500,895800,898600,898300,899700,903000,907000,909900,909900,907000,906500,912600,918100,916800,918700,930500,945000,953500,954200,951800,952300,950600,949000,952100,959400,964300,968200,970000,970900,972800,978400,986200,999200,1015600,1031700,1048700,1068000,1084200,1089800,1086700,1082500,1081800,1082700,1082700,1081200,1070600,1054600,1042500,1038000,1036700,1040300,1043800,1046100
121675,Benning,Washington,DC,Washington,District of Columbia,4285,101400,103600,105100,105300,103500,100900,99400,99600,100000,99000,97100,96700,96800,96300,95900,96400,97100,98200,97000,93200,89600,88400,87000,86100,87100,88700,88800,88600,88700,89200,90900,93700,96900,99500,102000,105300,108700,111800,114200,115400,116600,118400,119700,120200,120800,121600,123000,125200,127500,127600,126500,125700,125200,123100,120800,119200,118200,117100,117000,117300,117600,118300,120100,122800,125800,129600,135000,141300,146700,151900,157400,160900,163100,165600,168500,171600,174400,176700,178200,179700,181300,183400,185400,188100,191400,193400,195100,198400,203000,206400,208000,209300,213300,218500,221500,223500,226800,231400,234500,235800,236700,239400,242900,245400,245800,245600,246700,249100,251800,254100,255800,256200,255500,254500,252100,248700,245600,242600,239500,238200,237900,236800,234200,230700,226800,223100,219900,218000,217600,218100,217500,213900,207300,199900,194800,193000,194200,195800,199700,204200,206200,204400,202100,200400,198700,197000,196300,196600,194300,190100,186000,183100,180700,180000,179600,178400,176300,174700,173100,171200,168900,168000,167300,165700,163500,161900,161500,161500,162600,165500,168800,169800,169800,170600,172500,174300,175100,175000,175800,177900,180200,181500,182500,183900,186600,189600,191900,193800,195400,197200,198300,199200,202300,207400,211700,214300,215800,217000,215800,213800,212300,211000,209900,211200,214900,220100,224300,227100,228400,228900,228800,229200,232700,239300,246600,251700,253300,250400,246700,247600,251000
121676,Benning Heights,Washington,DC,Washington,District of Columbia,4366,,,,,,,,,,,,,97200,95800,94300,92600,90700,90100,89800,88500,87200,86900,86700,88100,90800,93500,95700,97400,98200,99300,101700,104600,107200,109000,110700,113500,116200,118100,119500,120600,121300,122100,122400,123000,124000,124900,125500,127800,130600,131200,130400,130500,131100,129600,126600,123800,124400,127900,131800,133600,134700,136500,138800,141000,143000,145700,149900,153600,155800,157600,159000,159500,161900,166300,170000,174400,179900,184300,188000,192500,196800,200900,206100,209500,209900,210500,213300,216500,220500,225400,229900,234300,238400,241200,242300,244100,247300,251000,252900,252200,250800,250000,249000,247900,247900,247700,247200,248300,249800,249900,250000,251100,251700,251100,249700,247800,245000,242200,240700,241200,240900,240700,240500,239200,237200,236100,235200,233500,232000,230700,228900,225400,221100,216300,212300,209900,208700,207600,207000,206000,203700,201300,199600,197700,195800,193600,191000,189800,189600,188300,186600,186200,186100,186000,184900,183200,180800,178800,176600,174500,172500,171300,171200,171800,172400,171700,170200,169500,170500,172200,173500,174300,174900,175800,177600,178100,179000,182000,185900,188300,190800,193200,196700,199300,199800,201100,204300,206900,207900,208100,209200,212400,215500,217900,220100,222600,226200,229500,231100,231700,232300,232900,234300,236900,241000,245600,248700,249700,249300,248800,247300,248200,252300,258100,262300,265800,267400,269800,272400,274600,276100
121677,Bloomingdale,Washington,DC,Washington,District of Columbia,2257,127900,130200,130900,130800,131300,130200,127800,126600,127600,128300,127200,126500,127900,130500,133000,135700,138300,139900,140500,141600,142900,144100,147100,152200,155800,156600,156200,155800,154100,153600,155800,158700,160300,161800,163400,164400,165800,169200,173200,174500,173900,175300,180200,186800,194000,200600,206600,213900,221800,226500,228400,229900,233200,237400,240500,242200,244900,248000,251300,254700,258000,262700,270200,279100,287600,295600,302300,308400,314200,319300,324500,330200,337500,345900,353400,361700,371900,379900,383500,386700,393300,401600,408100,413300,418900,422700,425200,428500,432500,437000,441600,445000,448200,454500,460300,461600,461600,465800,472400,476900,478700,479300,479800,476300,467500,459000,452900,448900,445500,440900,434100,429500,428100,428800,427700,425800,425000,422800,419100,416600,414900,413200,411300,407000,400800,393800,385200,378900,377600,377400,375700,373700,373400,374200,376100,376300,375200,372700,379900,394100,403300,406100,411400,416700,419000,420000,420400,422000,425700,432800,435400,430800,426200,426800,429600,431700,433500,435800,438000,440600,441300,439600,439500,443900,448300,451300,455600,462500,468700,473000,478100,485600,489100,490000,493000,496200,496800,500000,505200,511900,520400,525500,527400,533100,546900,564200,579100,590900,600300,608700,615700,620400,622000,625500,632900,640200,648000,655900,660600,663000,668400,672300,674300,678600,686500,694700,699900,702900,709400,716300,716900,716200,721500,728400,731100,730800,728600,728900,731600,732900,732400
121679,Brightwood,Washington,DC,Washington,District of Columbia,1186,,,,,,,,,,,,,172000,173700,173500,173300,173700,175100,177900,182000,185300,188100,192900,199900,205000,206300,205500,204300,202400,201500,201500,200700,201100,202400,202500,203500,209100,218100,224300,228000,229500,230600,233500,239600,243600,246400,249200,254000,257100,256700,256200,257200,258100,260500,264900,267400,270700,276300,282100,287900,295100,302000,308700,318200,327300,333200,337100,341600,346900,352000,356000,359900,365400,373400,386100,401200,416900,432600,447000,456100,461300,464500,467200,469900,471800,471900,471200,469400,467700,467600,468500,471000,474100,476600,479200,482400,481900,479200,476100,474200,474100,473100,467800,463400,463400,465700,468100,471100,475500,480000,481400,481200,482900,484900,482600,478400,475600,473000,468500,465300,464800,463200,460700,456000,449300,440500,434300,431400,431100,429900,431000,433700,432800,426000,417000,409200,404100,399700,408000,424700,433800,433900,435500,433400,431300,432900,436800,440200,442000,445100,441800,429900,418500,414800,409500,400800,392000,388800,388700,388800,386300,384000,382900,383400,383900,385500,387900,390800,394600,400300,408400,415200,420200,426700,432400,435700,440100,443000,447100,454700,459400,460000,462600,468800,479200,491800,502700,510400,516100,521500,526300,529200,533400,541900,550600,555700,556400,554700,549100,543800,546300,555200,561400,567500,576400,580200,577600,577900,585700,596200,604100,608800,611200,614200,617000,621300,628200,636700,642000,647200,652600
121680,Brightwood Park,Washington,DC,Washington,District of Columbia,3506,110800,112300,112700,113800,114700,114700,114500,114200,112500,109600,107400,106600,107000,107800,108300,108300,108900,110200,111800,112700,114100,116600,117800,118100,117600,115200,113900,117200,121100,122100,122000,122700,122600,122400,123000,124600,126800,130100,133700,134700,134200,134800,136300,138700,142500,145900,150100,155200,158900,160900,162100,162600,164200,168100,173200,176800,178700,179400,179800,181000,183100,185900,189900,195300,201000,206300,211300,216400,222000,228300,235000,241900,249100,255300,259600,262800,266300,269500,270700,270900,273400,278400,284700,292600,301900,309800,314600,319000,325100,332200,338700,343300,346200,349300,349200,346700,346600,348100,349300,351300,352100,350500,348900,350400,354300,357100,357600,357400,358000,359900,362600,364800,365600,364100,359300,352400,345100,338600,333300,329300,324300,319800,316900,312500,306600,302600,302700,304600,305900,305000,304000,300900,294700,288400,284100,280900,278500,274600,273000,274300,275500,274300,273900,274000,274900,275300,275700,277500,279700,283900,286500,284500,280300,280000,282800,285300,286000,285100,284100,283900,283500,282500,283200,285200,286100,286400,287300,290400,296500,302600,305300,306400,309300,314200,318500,321800,324300,325300,325200,327500,332100,338100,345200,352900,360900,367000,370900,374800,383100,394800,404600,408500,409400,412200,418100,422000,422100,421600,420800,420500,422700,426900,429900,435400,442500,447700,448800,449900,453800,461500,466900,468600,470100,471300,472100,473600,475200,476400,478000,479700,481300
121681,Brookland,Washington,DC,Washington,District of Columbia,1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360800,361900,362000,363400,365300,369300,369400,363500,356300,355300,355800,355400,353600,352800,353200,354800,354600,354000,353000,353200,355200,357300,357600,358000,359800,363800,370000,375800,379900,382100,383100,384400,387900,392700,397600,403000,408100,412800,417800,424100,431200,437500,440800,443300,447000,450200,452000,454500,458000,461400,464800,468800,474400,480900,485800,488300,491900,498000,506300,518500,530000,538300,544400,553500,563900,572800,572300,566800,563000,565800,569800,572300,580100,592500,598000,593800,589600
121682,Buena Vista,Washington,DC,Washington,District of Columbia,1606,,,,,,,85900,85000,85000,86200,87700,89000,89800,88300,86500,86200,86900,87200,87000,86800,87200,87600,88100,90200,92700,94000,93500,91800,88600,87100,87100,86800,86200,86500,88200,91400,93700,93800,93800,94700,95500,96700,97800,98500,98500,98900,99000,100500,103100,105200,106700,108300,109500,109600,109400,109300,109600,110300,111200,111700,112700,113800,114400,115500,118300,121200,123300,125800,128900,131400,133100,134800,137200,139800,142700,145500,147900,149900,152700,156800,160600,161900,162000,162400,163100,164400,166700,168100,170800,175900,180400,182500,185600,191300,197300,201400,204300,207500,210600,214000,216500,218600,221500,224800,226800,228700,231500,234400,236600,238400,239800,240500,240700,240900,239200,236900,236000,234500,231900,230100,229600,228800,228900,228400,227100,225400,226100,227000,226200,224100,220900,216300,211800,208200,204400,202300,201400,199400,197600,197600,197100,196100,196300,196600,195900,194100,191400,189000,185700,181400,176300,171900,168100,165900,164100,163200,162800,162700,162900,163000,162400,162000,162500,163200,164500,166600,169700,171900,173500,175300,176900,178100,179900,181700,182600,182000,180700,179500,179100,179800,181400,183200,186000,189800,193300,195300,196200,197100,197600,198100,198100,199000,200800,204100,208300,211900,214300,216200,216400,216500,218900,221800,223300,223300,223400,224200,224600,224800,227100,230900,237100,244300,249600,252500,255900,261000,266000,267800,268000,267900,267000
